CANTOR,CÓD,TÍTULO,INÍCIO DA LETRA,CART
BRUNO E MARRONE,6395,UM BOM PERDEDOR ,Sei que você pensa em me deixar...,BRA
BRUNO E MARRONE,6431,PROGRAMA DO FIM DE SEMANA ,Não me deixe fora da sua agenda....,BRA
BRUNO E MARRONE,6448,BIJUTERIA ,Quando a noite cai…,BRA
BRUNO E MARRONE,6484,AGORA VAI ,Vai Pode ir embora antes...,BRA
BRUNO E MARRONE,6529,CREDO EM CRUZ AVE-MARIA ,Desce uma geladinha…,BRA
BRUNO E MARRONE,6541,MENINA ,Menina cada instante em minha vida…,BRA
BRUNO E MARRONE,6615,LIGAÇÃO URBANA ,Alô amor tô te ligando de um orelhão...,BRA
BRUNO E MARRONE,6678,VAI DAR NAMORO ,Do jeito que você me olha...,BRA
BRUNO E MARRONE,6689,DEIXA ,Deixa eu pelo menos falar de nós...,BRA
BRUNO E MARRONE,6751,SERÁ ,Sou o primeiro homem na Lua...,BRA
BRUNO E MARRONE,6790,SE NÃO TIVESSE IDO ,Eeu pensei que nunca ia te perder...,BRA
BRUNO E MARRONE,6837,TE AMAR FOI ILUSÃO ,Eu sei....Talvez eu tenha,BRA
BRUNO E MARRONE,6844,APAZIGUAR ,Outra vez nós dois brigamos,BRA
BRUNO E MARRONE,6856,INEVITÁVEL ,Éanimal é tão voraz essa paixão,BRA
BRUNO E MARRONE,6899,CHORAM AS ROSAS ,Choram as rosas…,BRA
BRUNO E MARRONE,6972,QUER CASAR COMIGO? ,Quer quer quer... quer casar comigo…,BRA
BRUNO E MARRONE,7120,ENTÃO PODE IR ,Você me fala com tanta certeza,BRA
BRUNO E MARRONE,7217,POR TE AMAR DEMAIS ,Eu já sei sei que vai ligar,BRA
BRUNO E MARRONE,7229,QUE PESCAR QUE NADA ,Já paguei quem eu devia,BRA
BRUNO E MARRONE,7368,FRUTO ESPECIAL ,Gosto quando sua mão,BRA
BRUNO E MARRONE,7460,TÁ PEGANDO ,Tá no toque da sanfona tá no,BRA
BRUNO E MARRONE,7582,DESIGUAIS ,Não faz mal sei que já não me quer,IMP 11
BRUNO E MARRONE,7634,MARIANNE ,No dia do aniversário do nosso namo,IMP 11
BRUNO E MARRONE,7723,VÊ SE TOMA JUÍZO ,Não vou mais acreditar no que me fala,IMP 11
BRUNO E MARRONE,9320,PRA NÃO MORRER DE AMOR ,Melhor se me avisasse,IMP 13
BRUNO E MARRONE,9379,ABAFA O CASO ,Abafa o caso,IMP 13
BRUNO E MARRONE,9386,AMOR DE BALADA ,Saí,IMP 13
